WS Mode    Time Delay
1 -1.2260977758174016 - 8.835022627692508e-9im
2 -0.2629602531403582 - 1.8996818197539733e-6im
3 -0.2627245022473776 - 1.8873645588686773e-6im
4 -0.010120112657149747 - 8.876335594996594e-10im
5 -0.01010381256043432 - 6.013924214588348e-10im
6 -1.0741345706015461e-17 - 2.3713183476110286e-17im
7 -2.6820916834667454e-30 - 1.657521880678126e-30im
8 1.0573713299549234e-37 + 9.922891853292749e-39im
9 1.0980162534754888e-5 - 8.847337783662977e-11im
